Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1	0.1707331	0.1578863	0.0969486	0.0723155	0.0341974	0.0575195	0.3873853	0.1554352	1.4370241	0.2717014	0.0127155	0.0274046	0.0256235	0.0395836	-34996.534
2	0.1707331	0.1578863	0.1015145	0.0723155	0.0303649	0.0575195	0.3748988	0.1554352	1.4370241	0.2717014	0.0060608	0.0274046	0.0193163	0.0395836	-34996.336
4	0.1707331	0.1545162	0.1093209	0.0723155	0.0303649	0.0575195	0.3748988	0.1452476	1.4370241	0.1735743	0.0060608	0.0156368	0.0500575	0.0395836	-34999.301
6	0.1707331	0.1545162	0.1043978	0.0705160	0.0303649	0.0541634	0.3748988	0.1274257	1.4042722	0.1716887	0.0185059	0.0419353	0.0498133	0.0742527	-34998.526
8	0.1548211	0.1401156	0.0897064	0.0639440	0.0275349	0.0526424	0.4134297	0.1452060	1.7075814	0.3515907	0.0089885	0.0297065	0.0198257	0.0269854	-34993.519
10	0.1507943	0.1426399	0.0848620	0.0597739	0.0275349	0.0526424	0.4134297	0.1596723	1.7714238	0.3515907	0.0059467	0.0297065	0.0102279	0.0413038	-34999.556
12	0.1722476	0.1629331	0.1017037	0.0764470	0.0314523	0.0601317	0.3619374	0.1468358	1.3956213	0.3515907	0.0059467	0.0297065	0.0102279	0.0180137	-34997.511
14	0.1749861	0.1655235	0.1045285	0.0773253	0.0319523	0.0627549	0.3443353	0.1288539	1.3737803	0.3515907	0.0059467	0.0297065	0.0102279	0.0180137	-34999.099
16	0.1390074	0.1314904	0.0830365	0.0614265	0.0242933	0.0470646	0.4334581	0.1569178	1.7293499	0.3515907	0.0059467	0.0297065	0.0087801	0.0180137	-35003.470
18	0.1387352	0.1293463	0.0830365	0.0614265	0.0242933	0.0470646	0.4334581	0.1569178	1.7293499	0.3515907	0.0030835	0.0297065	0.0122293	0.0180137	-35003.128
20	0.1554464	0.1449265	0.0959060	0.0718129	0.0287236	0.0513397	0.3868596	0.1530332	1.5434376	0.2447484	0.0058541	0.0297065	0.0200540	0.0180137	-34995.154
22	0.1681282	0.1567501	0.1037303	0.0776185	0.0327006	0.0555281	0.3748232	0.1291704	1.7537677	0.2447484	0.0058541	0.0297065	0.0152061	0.0363304	-34995.682
24	0.1299511	0.1179543	0.0820704	0.0603216	0.0250582	0.0439333	0.4737460	0.1632608	1.8810647	0.2447484	0.0127594	0.0297065	0.0152061	0.0168663	-34995.925
26	0.1261956	0.1238768	0.0820704	0.0603216	0.0262196	0.0468060	0.4737460	0.1790839	1.8810647	0.2447484	0.0127594	0.0129258	0.0152061	0.0168663	-34993.617
28	0.1114067	0.1059598	0.0702001	0.0515969	0.0224273	0.0400362	0.5061345	0.1990088	2.1991384	0.3726663	0.0127594	0.0129258	0.0152061	0.0168663	-34994.081
30	0.1377704	0.1361237	0.0941847	0.0697863	0.0284225	0.0507385	0.3993751	0.1674004	1.7352722	0.3726663	0.0127594	0.0117515	0.0197123	0.0168663	-35001.877
32	0.1430456	0.1414409	0.0909572	0.0664560	0.0320416	0.0507385	0.3993751	0.1674004	1.7925703	0.3726663	0.0057218	0.0117515	0.0197123	0.0168663	-34997.066
34	0.1422442	0.1389586	0.0900101	0.0657640	0.0303359	0.0468354	0.4035771	0.1705384	1.6279064	0.3726663	0.0057218	0.0047980	0.0152378	0.0050171	-34996.767
36	0.1608519	0.1525957	0.0988435	0.0705655	0.0333130	0.0514317	0.3675105	0.1552978	1.4824245	0.3726663	0.0057218	0.0047980	0.0240457	0.0365531	-35001.485
38	0.1630994	0.1492964	0.0988435	0.0755246	0.0363086	0.0545963	0.3675105	0.1552978	1.4824245	0.2140977	0.0022888	0.0113640	0.0240457	0.0309996	-35004.622
40	0.1702182	0.1492964	0.0969132	0.0729667	0.0363086	0.0542627	0.3675105	0.1552978	1.4824245	0.1940217	0.0039791	0.0152498	0.0159606	0.0109264	-34999.450
42	0.1664854	0.1547389	0.0969132	0.0729667	0.0346101	0.0588653	0.3675105	0.1552978	1.4824245	0.3463212	0.0039791	0.0152498	0.0266790	0.0370429	-34998.342
44	0.1664854	0.1594996	0.1011793	0.0729667	0.0346101	0.0588653	0.3675105	0.1552978	1.4824245	0.3463212	0.0039791	0.1019879	0.0363177	0.0370429	-34998.247
46	0.1609921	0.1594996	0.1011793	0.0729667	0.0346101	0.0530132	0.3675105	0.1530912	1.4824245	0.3463212	0.0069934	0.1019879	0.0228085	0.0370429	-34997.078
48	0.1609921	0.1557568	0.1031885	0.0784327	0.0346101	0.0530132	0.3644219	0.1586143	1.5631656	0.3463212	0.0069934	0.1019879	0.0363800	0.0895103	-34995.466
50	0.1360184	0.1356912	0.0900134	0.0632544	0.0299075	0.0458101	0.4468391	0.1709214	1.8089544	0.3463212	0.0150880	0.1019879	0.0193790	0.0416649	-34997.272
52	0.1479806	0.1476246	0.0949688	0.0726720	0.0287871	0.0498389	0.4117339	0.1621574	1.8518549	0.3463212	0.0150880	0.0278905	0.0187632	0.0416649	-34995.110
54	0.1213658	0.1178989	0.0778883	0.0596017	0.0236096	0.0408752	0.5020249	0.1960395	2.2579562	0.3463212	0.0150880	0.0278905	0.0187632	0.0263616	-34992.726
56	0.1554796	0.1525922	0.1008080	0.0723356	0.0305571	0.0529033	0.3878847	0.1439490	1.7445882	0.3463212	0.0080605	0.0278905	0.0260650	0.0263616	-34993.828
58	0.1554796	0.1525922	0.1034066	0.0698644	0.0305571	0.0529033	0.3878847	0.1286262	1.5091382	0.3463212	0.0080605	0.0278905	0.0177320	0.0263616	-34999.502
60	0.1453888	0.1428198	0.0973683	0.0629666	0.0281846	0.0534643	0.4011229	0.1427170	1.6391823	0.1978015	0.0080605	0.0278905	0.0259577	0.0126335	-35001.901
62	0.1698036	0.1680516	0.1107345	0.0738184	0.0360093	0.0641820	0.3421548	0.1217365	1.4336577	0.1978015	0.0167374	0.0278905	0.0403587	0.0582633	-34995.649
64	0.1508426	0.1421402	0.0917314	0.0624366	0.0298084	0.0542860	0.4045278	0.1509152	1.6950058	0.4196959	0.0167374	0.0278905	0.0403587	0.0297531	-34993.895
66	0.1685996	0.1645026	0.0992891	0.0722595	0.0337833	0.0585497	0.3814657	0.1252641	1.4645873	0.4196959	0.0464892	0.0278905	0.0271748	0.0297531	-34994.747
68	0.1685996	0.1645026	0.0992891	0.0758167	0.0385391	0.0585497	0.3501218	0.1368758	1.4645873	0.4196959	0.0248000	0.0278905	0.0265813	0.2410958	-34998.235
70	0.1444409	0.1350193	0.0850620	0.0649529	0.0288969	0.0553641	0.4175161	0.1597692	1.7095489	0.1897996	0.0096508	0.0486792	0.0265813	0.0437460	-34991.495
72	0.1489504	0.1401751	0.0879298	0.0649529	0.0273407	0.0553641	0.4175161	0.1472219	1.7095489	0.1897996	0.0096508	0.0300516	0.0349793	0.0437460	-34996.082
74	0.1625659	0.1483805	0.0906305	0.0693246	0.0273407	0.0524139	0.4059563	0.1530556	1.7095489	0.1897996	0.0169580	0.0300516	0.0181289	0.0437460	-34995.161
76	0.1634949	0.1483805	0.0906305	0.0666386	0.0249140	0.0561210	0.4260264	0.1598281	1.7095489	0.3952480	0.0169580	0.0300516	0.0312077	0.0437460	-34995.537
78	0.1634949	0.1580617	0.0937210	0.0666386	0.0249140	0.0523909	0.4260264	0.1598281	1.7095489	0.2524043	0.0067251	0.0300516	0.0165896	0.0437460	-34992.869
80	0.1617259	0.1584824	0.0999544	0.0666386	0.0274816	0.0542808	0.4062704	0.1722769	1.7095489	0.2524043	0.0067251	0.0300516	0.0165896	0.1289560	-34999.111
82	0.1617259	0.1574067	0.1037447	0.0702503	0.0319148	0.0583487	0.3691109	0.1617644	1.7095489	0.2524043	0.0186549	0.0300516	0.0183396	0.1289560	-34993.205
84	0.1617259	0.1552422	0.0996908	0.0702503	0.0292855	0.0583487	0.3691109	0.1450463	1.6570198	0.2524043	0.0082120	0.0132638	0.0196279	0.0361643	-34994.708
86	0.1617259	0.1552422	0.1020549	0.0728194	0.0260504	0.0583487	0.3691109	0.1629704	1.5113177	0.4108814	0.0157414	0.0132638	0.0594814	0.0361643	-34999.070
88	0.1555777	0.1498179	0.1020549	0.0728194	0.0269770	0.0645753	0.3761658	0.1629704	1.5651253	0.3142564	0.0287737	0.0420958	0.0303716	0.0572056	-35005.710
